代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
600589,大位科技,20260225,E_Leader_Restart (二次启动),13.19,-27.22%,-16.15%,51,1,87,--------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260225,E_Leader_Restart (二次启动),12.77,-57.01%,-39.66%,从未,1,87,---------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603333,尚纬股份,20260109,C_New_Strategy (最高共振),8.99,-11.46%,-6.10%,35,1,113,----------------------------------++------+---------------------------------+-+++++++----------------------------,深度套牢 | 冲高回落
603356,华菱精工,20260109,E_Leader_Restart (二次启动),15.41,16.94%,16.19%,1,97,114,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++++++,正常
002579,中京电子,20251230,A_Strong_Pullback (中风险接力),12.25,59.76%,13.36%,3,1,120,--+++++---++--+++++-------------++++-----+++-+-+-+-------+-++++++++++++++++-+-++++++++++++++++++++++++++++++++++++++++++,正常
000913,钱江摩托,20251230,B_Low_Position_Start (低风险埋伏),15.73,-32.68%,-10.70%,7,1,120,------++++++++++-----+--+++-------+-----++++++++--------++--------------------------------------------------------------,深度套牢 | 冲高回落
002560,通达股份,20251230,E_Leader_Restart (二次启动),10.33,-26.62%,4.41%,7,1,120,------+-+++++++++++----+--+--+++++++++++++++++----------++++++++++++++++++++++++++++++----------------------------------,深度套牢 | 冲高回落
002201,九鼎新材,20251230,E_Leader_Restart (二次启动),11.21,-8.03%,10.60%,1,2,120,+---++++++++++++++++++++++++++++++++++++++++++++-------++++--+-++++++++++++++++++++++++++++++++---------+-+++++++++-----,冲高回落
000586,汇源通信,20260416,E_Leader_Restart (二次启动),23.19,-42.78%,-26.62%,从未,1,52,----------------------------------------------------,长期未回正 | 深度套牢
000026,飞亚达,20260416,E_Leader_Restart (二次启动),16.2,35.12%,25.83%,1,35,52,++++++++++++++++++++++++++++++++++--++++++++++++++++,正常
002800,天顺股份,20260309,E_Leader_Restart (二次启动),24.35,-44.52%,-26.85%,5,1,79,----+--------------------------------------------------------------------------,深度套牢
603012,创力集团,20260509,C_New_Strategy (最高共振),9.55,-7.64%,-8.90%,1,4,39,+++------+++++-------------------------,冲高回落
603758,秦安股份,20260509,B_Low_Position_Start (低风险埋伏),13.44,-23.88%,-19.32%,从未,1,39,---------------------------------------,长期未回正 | 深度套牢
600732,爱旭股份,20260211,A_Strong_Pullback (中风险接力),15.04,-11.17%,-6.78%,10,1,91,---------+++++++------++-+--------+++++++++++---+------------------------------------------,深度套牢 | 冲高回落
600510,黑牡丹,20260211,A_Strong_Pullback (中风险接力),9.66,-24.12%,-7.75%,3,1,91,--+++++----------------------------------+++++++++++++--+----------------------------------,深度套牢 | 冲高回落
002921,联诚精密,20260211,E_Leader_Restart (二次启动),24.82,20.67%,5.95%,7,1,91,------++++++++++++++------------++++++++--++++++++++++++++++++++++++++++----------+++++++++,正常
002634,棒杰股份,20260211,E_Leader_Restart (二次启动),6.66,-30.18%,-10.35%,1,18,90,+++++++++++++++++------+++++++++++++++----------------------------------------------------,深度套牢 | 冲高回落
600860,京城股份,20260211,E_Leader_Restart (二次启动),13.77,-36.75%,-18.80%,3,1,91,--+++++-++++++++++-------------------------------------------------------------------------,深度套牢 | 冲高回落
601222,林洋能源,20260211,D_Strong_Breakout (高风险追涨/优化),6.25,-12.64%,-0.73%,1,2,91,+----+---++++++++++++-+++++------------+---+------+-+-+---+++++++++++-+--------------------,深度套牢 | 冲高回落
002332,仙琚制药,20251209,B_Low_Position_Start (低风险埋伏),9.54,-12.16%,-6.84%,43,1,113,------------------------------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
002585,双星新材,20251209,E_Leader_Restart (二次启动),7.16,54.19%,17.59%,18,1,135,-----------------+++++----+++++++++------+++++++++++++++++++++++-----++------------++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603738,泰晶科技,20251209,E_Leader_Restart (二次启动),16.96,215.51%,82.67%,21,1,135,--------------------++-----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002093,国脉科技,20251209,E_Leader_Restart (二次启动),13.59,-52.47%,-30.84%,43,1,113,------------------------------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
002682,龙洲股份,20251211,E_Leader_Restart (二次启动),9.86,-55.17%,-34.19%,1,4,133,+++----------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000735,罗 牛 山,20251211,E_Leader_Restart (二次启动),10.14,-50.30%,-29.83%,1,4,132,+++---+++---------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000505,京粮控股,20251211,E_Leader_Restart (二次启动),8.54,-37.94%,-19.92%,3,1,132,--+-------+++-----------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000532,华金资本,20251211,E_Leader_Restart (二次启动),15.44,-28.30%,-8.40%,4,1,132,---+++-++++++++++++++++++++++++++++++++++++++++-------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002587,奥拓电子,20260630,A_Strong_Pullback (中风险接力),7.33,-7.64%,-2.27%,1,2,3,+--,正常
600058,五矿发展,20260630,E_Leader_Restart (二次启动),11.88,-9.51%,-6.20%,从未,1,3,---,长期未回正
002268,电科网安,20251229,C_New_Strategy (最高共振),20.33,-33.35%,-15.26%,1,14,120,+++++++++++++---+-------------+-----------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000411,英特集团,20251229,A_Strong_Pullback (中风险接力),12.86,-25.82%,-11.67%,1,8,110,+++++++--------------------------------+----------------------------------------------------------------------,深度套牢 | 冲高回落
002228,合兴包装,20251229,E_Leader_Restart (二次启动),6.33,-51.18%,-37.54%,从未,1,121,-------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002427,尤夫股份,20251229,E_Leader_Restart (二次启动),6.76,-26.78%,-7.62%,1,2,121,+----+-+-+++++++++++++++++++++++++++++++++++++++++-----------------------------------------------------------------------,深度套牢 | 冲高回落
002800,天顺股份,20260308,E_Leader_Restart (二次启动),24.35,-44.52%,-26.57%,6,1,80,-----+--------------------------------------------------------------------------,深度套牢
603212,赛伍技术,20260604,A_Strong_Pullback (中风险接力),15.46,-19.60%,-8.59%,1,4,20,+++-+++++-----------,深度套牢 | 冲高回落
603633,徕木股份,20260604,E_Leader_Restart (二次启动),9.06,-21.30%,-15.86%,从未,1,20,--------------------,长期未回正 | 深度套牢
002700,万憬能源,20260604,E_Leader_Restart (二次启动),7.94,-15.87%,-0.67%,1,13,20,++++++++++++--------,深度套牢 | 冲高回落
601918,新集能源,20260604,E_Leader_Restart (二次启动),10.97,-16.32%,-15.10%,从未,1,20,--------------------,长期未回正 | 深度套牢
603567,珍宝岛,20260503,B_Low_Position_Start (低风险埋伏),7.08,-32.34%,-10.20%,1,20,42,+++++++++++++++++++-----------------------,深度套牢 | 冲高回落
000559,万向钱潮,20260518,A_Strong_Pullback (中风险接力),17.5,-18.74%,-16.26%,1,5,33,++++-----------------------------,深度套牢
603809,豪能股份,20260518,A_Strong_Pullback (中风险接力),11.48,-14.46%,-12.35%,1,2,33,+--------------------------------,深度套牢
603018,华设集团,20260518,A_Strong_Pullback (中风险接力),7.6,-29.34%,-11.93%,1,2,33,+--------------------------------,深度套牢
002617,露笑科技,20260518,E_Leader_Restart (二次启动),9.36,-2.24%,-1.36%,1,3,33,++--++++---------------+++-+++++-,冲高回落
002254,泰和新材,20260518,E_Leader_Restart (二次启动),14.18,17.63%,11.45%,1,9,33,++++++++-----++--++++++++++++++++,正常
002277,友阿股份,20260518,E_Leader_Restart (二次启动),6.54,-2.91%,-0.85%,3,1,33,--++++++++--++-++----------------,冲高回落
601872,招商轮船,20260404,E_Leader_Restart (二次启动),19.47,-12.69%,-11.32%,1,4,60,+++-----------------+------------------------------++++-----,深度套牢 | 冲高回落
000600,建投能源,20260316,E_Leader_Restart (二次启动),10.19,-11.58%,-2.80%,7,1,74,------++---------------------------------+---++++++++++++--++++-----------,深度套牢 | 冲高回落
002579,中京电子,20251214,A_Strong_Pullback (中风险接力),11.89,64.59%,15.27%,1,2,132,+----+-++-+++++++++++++++++++++------------+++++--++-+++++++++-++----++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++,正常
002235,安妮股份,20251214,E_Leader_Restart (二次启动),12.85,-27.55%,-20.20%,1,2,131,+----------------------------------------------------------------------------------------------------------------------------------,深度套牢
002725,跃岭股份,20251214,E_Leader_Restart (二次启动),19.08,-35.27%,-18.63%,从未,1,132,------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
